anzsco_code,occupation,task_rank,task
2112,Music Professionals,8,"Playing music in recital, as an accompanist, or as a member of an orchestra, band or other musical group, from score and by memory"
2112,Music Professionals,9,"Performing music and songs according to interpretation, direction and style of presentation, using highly developed aural skills to reproduce music"
2113,Photographers,1,Consulting with clients to determine objectives of photographic assignments
2113,Photographers,2,"Studying requirements of assignment and selecting type of camera, film, filter and lighting"
2113,Photographers,3,"Working from a studio, and transporting and setting up equipment at assigned locations"
2113,Photographers,4,Measuring light levels and determining exposure
2113,Photographers,5,"Adjusting camera angles, aperture settings and subjects to achieve desired composition"
2113,Photographers,6,Adjusting lighting and filters to accentuate highlights and colours
2113,Photographers,7,"Mixing photographic chemicals, processing film and developing prints"
2113,Photographers,8,Manipulating images using digital imaging techniques and creative darkroom techniques such as adjusting exposure and development times
2113,Photographers,9,"May make enlarged prints, and mount and frame prints"
2114,Visual Arts and Crafts Professionals,1,"Conceiving and developing ideas, designs and styles for paintings, drawings, pottery pieces and sculptures"
2114,Visual Arts and Crafts Professionals,2,"Arranging objects, positioning models, and selecting landscapes and other visual forms according to chosen subject matter"
2114,Visual Arts and Crafts Professionals,3,"Selecting artistic media, method and materials"
2114,Visual Arts and Crafts Professionals,4,Applying media to surfaces using appropriate techniques
2114,Visual Arts and Crafts Professionals,5,"Moulding clay into functional and artistic articles by wheel-throwing, moulding and hand-building"
2114,Visual Arts and Crafts Professionals,6,Mixing glazing materials and applying glazes to dried pottery by dipping and painting
2114,Visual Arts and Crafts Professionals,7,Placing finished and decorated pieces in kilns
2114,Visual Arts and Crafts Professionals,8,"Sketching designs of proposed sculptures, and making wax and plaster models"
2114,Visual Arts and Crafts Professionals,9,"Devising forms from metal using welding and metalworking equipment, and from stone using masonry tools"
2114,Visual Arts and Crafts Professionals,10,Carving and forming materials to desired shape using hand and power tools
2121,"Artistic Directors, Media Producers and Presenters",1,"Managing artistic and media productions to meet quality, cost and timing specifications"
2121,"Artistic Directors, Media Producers and Presenters",2,Formulating and developing organisations' artistic policies and selecting and planning organisations' artistic programs
2121,"Artistic Directors, Media Producers and Presenters",3,Hiring and managing artistic staff
2121,"Artistic Directors, Media Producers and Presenters",4,"Controlling the use of media production facilities such as studios and editing equipment, stage and film equipment and rehearsal time"
2121,"Artistic Directors, Media Producers and Presenters",5,"Directing the formulation of media production strategies, policies and plans"
